Date,Time,Temp,RH,WD,WS,GS,Rain,PAR
07/06/18,01:00:00PM,94.181,50.7,80,5.64,14.09,0,2236.2
07/06/18,01:30:00PM,90.424,53.8,85.6,6.76,11.83,0,2003.7
07/06/18,02:00:00PM,94.419,47,92.7,7.31,14.65,0,2261.2
07/06/18,02:30:00PM,93.612,47.8,71.6,7.31,15.21,0,1748.7
07/06/18,03:00:00PM,94.944,46.8,91.3,7.9,14.09,0,2201.2
07/06/18,03:30:00PM,95.184,42.8,109.5,9.57,20.29,0,2013.7
07/06/18,04:00:00PM,93.659,49.5,75.8,7.9,16.33,0,1956.2
07/06/18,04:30:00PM,95.806,44.5,56.2,6.76,14.65,0,1796.2
07/06/18,05:00:00PM,95.952,45.3,40.7,5.64,12.39,0,441.2
07/06/18,05:30:00PM,95.999,43,96.9,6.2,15.21,0,306.2
07/06/18,06:00:00PM,95.374,43.7,80,7.9,15.77,0,1321.2
07/06/18,06:30:00PM,93.281,44.9,85.6,9.57,16.33,0,338.7
07/06/18,07:00:00PM,92.856,48.4,82.8,10.13,23.09,0,406.2
07/06/18,07:30:00PM,90.379,52.6,84.2,7.31,21.97,0,446.2
07/06/18,08:00:00PM,87.802,59.9,60.4,5.64,14.09,0,253.7
07/06/18,08:30:00PM,83.064,69.4,81.4,9.01,23.09,0,48.7
07/06/18,09:00:00PM,82.042,72.4,80,3.38,12.95,0,31.2
07/06/18,09:30:00PM,81.597,72,82.8,1.12,6.2,0,1.2
07/06/18,10:00:00PM,80.139,77.7,106.7,1.12,6.2,0,1.2
07/06/18,10:30:00PM,81.244,74,106.7,0,2.26,0,1.2
07/06/18,11:00:00PM,80.845,75.4,54.8,4.5,11.83,0,1.2
07/06/18,11:30:00PM,77.945,82.5,64.6,5.64,11.27,0,1.2
07/07/18,12:00:00AM,77.509,84.3,73,5.64,10.69,0,1.2
07/07/18,12:30:00AM,77.684,84.8,95.5,1.12,4.5,0,1.2
07/07/18,01:00:00AM,76.854,85.4,95.5,1.12,3.38,0,1.2
07/07/18,01:30:00AM,75.853,84.8,124.9,1.12,5.08,0,1.2
07/07/18,02:00:00AM,75.42,86,124.9,0.56,2.82,0,1.2
07/07/18,02:30:00AM,75.16,88.8,102.5,1.12,4.5,0,1.2
07/07/18,03:00:00AM,73.861,91.2,351,2.82,7.31,0,1.2
07/07/18,03:30:00AM,73.213,92.4,0,3.38,7.31,0,1.2
07/07/18,04:00:00AM,72.307,93.5,23.9,2.82,5.64,0,1.2
07/07/18,04:30:00AM,72.093,94.1,46.3,2.26,6.76,0,1.2
07/07/18,05:00:00AM,71.92,93.5,28.1,3.38,7.9,0,1.2
07/07/18,05:30:00AM,70.974,94.6,57.6,1.7,5.08,0,1.2
07/07/18,06:00:00AM,70.63,95.3,53.3,0.56,3.38,0,1.2
07/07/18,06:30:00AM,70.846,95.2,40.7,2.82,5.64,0,1.2
07/07/18,07:00:00AM,70.846,95.5,29.5,2.26,6.2,0,1.2
07/07/18,07:30:00AM,70.416,96.1,51.9,2.82,6.2,0,46.2
07/07/18,08:00:00AM,71.791,95.1,66,2.26,6.2,0,186.2
07/07/18,08:30:00AM,73.515,91.8,56.2,2.82,7.31,0,386.2
07/07/18,09:00:00AM,75.985,86.9,43.5,4.5,9.57,0,583.7
07/07/18,09:30:00AM,77.16,83.3,43.5,5.08,9.01,0,838.7
07/07/18,10:00:00AM,81.288,77.6,43.5,5.08,10.69,0,1013.7
07/07/18,10:30:00AM,80.89,74.7,30.9,5.08,10.13,0,988.7
07/07/18,11:00:00AM,82.53,73.1,37.9,5.08,9.01,0,1178.7
07/07/18,11:30:00AM,86.029,65.3,54.8,5.64,12.95,0,1318.7
07/07/18,12:00:00PM,83.556,68.8,43.5,5.08,11.83,0,1806.2
07/07/18,12:30:00PM,86.572,60.7,33.7,4.5,11.83,0,628.7
07/07/18,01:00:00PM,88.993,58.7,32.3,4.5,11.83,0,781.2
07/07/18,01:30:00PM,90.147,54,70.2,6.76,15.77,0,1541.2
07/07/18,02:00:00PM,89.085,54.3,53.3,6.76,12.95,0,706.2
07/07/18,02:30:00PM,91.823,52.3,43.5,5.08,12.95,0,2121.2
07/07/18,03:00:00PM,89.823,53.1,28.1,6.2,13.51,0,2151.2
07/07/18,03:30:00PM,88.763,56.3,349.6,5.64,14.65,0,543.7
07/07/18,04:00:00PM,88.947,52.1,29.5,7.9,20.29,0,598.7
07/07/18,04:30:00PM,85.757,62.7,37.9,7.9,16.89,0,391.2
07/07/18,05:00:00PM,80.89,73.5,1.4,8.46,16.89,0,433.7
07/07/18,05:30:00PM,84.049,71.1,16.8,5.64,11.27,0,1696.2
07/07/18,06:00:00PM,82.708,74.7,16.8,6.2,12.95,0,496.2
07/07/18,06:30:00PM,83.691,68.4,28.1,6.76,11.83,0,518.7
07/07/18,07:00:00PM,85.262,65.5,40.7,7.31,12.95,0,923.7
07/07/18,07:30:00PM,85.802,65.1,44.9,7.31,14.09,0,581.2
07/07/18,08:00:00PM,85.307,64.3,43.5,7.31,15.21,0,388.7
07/07/18,08:30:00PM,84.542,66.1,49.1,6.2,11.27,0,226.2
07/07/18,09:00:00PM,82.753,68.4,66,7.9,14.65,0,61.2
07/07/18,09:30:00PM,81.244,71.2,64.6,6.76,11.83,0,1.2
07/07/18,10:00:00PM,79.92,74.4,60.4,3.38,7.31,0,1.2
07/07/18,10:30:00PM,78.382,77.9,67.4,3.94,7.9,0,1.2
07/07/18,11:00:00PM,77.77,79.8,70.2,1.12,5.08,0,1.2
07/07/18,11:30:00PM,77.859,80.6,66,2.26,6.76,0,1.2
07/08/18,12:00:00AM,77.378,82.3,61.8,4.5,7.31,0,1.2
07/08/18,12:30:00AM,75.985,85.2,73,2.26,7.9,0,1.2
07/08/18,01:00:00AM,76.071,86.4,57.6,3.38,6.76,0,1.2
07/08/18,01:30:00AM,75.16,88,61.8,2.82,6.76,0,1.2
07/08/18,02:00:00AM,74.856,89.3,46.3,2.82,7.9,0,1.2
07/08/18,02:30:00AM,74.338,90.9,44.9,2.82,6.2,0,1.2
07/08/18,03:00:00AM,73.774,92.5,46.3,3.38,6.76,0,1.2
07/08/18,03:30:00AM,73.386,94,49.1,3.38,7.31,0,1.2
07/08/18,04:00:00AM,73.342,95,47.7,2.82,6.2,0,1.2
07/08/18,04:30:00AM,73.083,95.2,44.9,2.26,5.64,0,1.2
07/08/18,05:00:00AM,72.912,96.4,49.1,2.26,5.08,0,1.2
07/08/18,05:30:00AM,73.256,96.6,75.8,2.26,5.08,0,1.2
07/08/18,06:00:00AM,73.688,97,80,0.56,3.94,0,1.2
07/08/18,06:30:00AM,73.818,97,91.3,0.56,3.94,0,1.2
07/08/18,07:00:00AM,73.99,97,91.3,0.56,2.26,0,1.2
07/08/18,07:30:00AM,73.386,96.9,82.8,0.56,3.38,0,38.7
07/08/18,08:00:00AM,73.688,97.2,49.1,1.7,4.5,0,113.7
07/08/18,08:30:00AM,73.256,97.3,51.9,2.26,6.2,0,163.7
07/08/18,09:00:00AM,74.295,97,47.7,3.38,5.64,0,391.2
07/08/18,09:30:00AM,76.375,91.8,71.6,3.94,7.31,0,753.7
07/08/18,10:00:00AM,79.261,85.9,59,3.38,7.9,0,1278.7
07/08/18,10:30:00AM,80.449,78.8,70.2,7.31,14.09,0,546.2
07/08/18,11:00:00AM,83.199,73,74.4,6.76,12.39,0,1346.2
07/08/18,11:30:00AM,83.914,70.9,96.9,5.64,11.83,0,1683.7
07/08/18,12:00:00PM,85.532,67.3,82.8,5.64,12.95,0,1926.2
07/08/18,12:30:00PM,86.664,63,109.5,5.64,11.83,0,2018.7
07/08/18,01:00:00PM,88.488,59.1,84.2,7.9,14.65,0,2116.2
07/08/18,01:30:00PM,88.579,56.4,95.5,7.9,15.77,0,2381.2
07/08/18,02:00:00PM,87.757,58.7,102.5,6.76,14.09,0,2553.7
07/08/18,02:30:00PM,89.362,58.1,117.9,5.64,12.39,0,2396.2
