Date,Time,Temp,RH,WD,WS,GS,Rain,PAR
09/25/18,04:30:00PM,89.04,57.2,165.7,2.82,8.46,0,836.2
09/25/18,05:00:00PM,88.306,57.5,179.7,2.82,7.31,0,616.2
09/25/18,05:30:00PM,86.256,62.4,157.2,2.82,7.9,0,396.2
09/25/18,06:00:00PM,85.487,63.7,143.2,3.94,9.57,0,316.2
09/25/18,06:30:00PM,82.218,77.4,164.3,3.94,10.69,0,116.2
09/25/18,07:00:00PM,81.154,79.1,168.5,3.94,9.57,0,78.7
09/25/18,07:30:00PM,80.139,77.8,178.3,2.82,7.31,0,18.7
09/25/18,08:00:00PM,78.777,81.9,181.1,2.26,7.31,0,8.7
09/25/18,08:30:00PM,77.99,85.3,171.3,1.7,5.64,0,1.2
09/25/18,09:00:00PM,77.292,87.1,162.9,2.26,6.2,0,1.2
09/25/18,09:30:00PM,76.636,89.4,124.9,2.26,5.08,0,1.2
09/25/18,10:00:00PM,75.898,89.3,119.3,2.26,6.2,0,1.2
09/25/18,10:30:00PM,74.813,92,88.4,1.12,2.82,0,1.2
09/25/18,11:00:00PM,74.683,93.6,117.9,1.7,4.5,0,1.2
09/25/18,11:30:00PM,73.947,95.1,129.2,0.56,3.38,0,1.2
09/26/18,12:00:00AM,73.688,95.6,129.2,0,2.26,0,1.2
09/26/18,12:30:00AM,72.869,96.2,132,0,1.12,0,1.2
09/26/18,01:00:00AM,72.955,95.8,132,0,1.7,0,1.2
09/26/18,01:30:00AM,72.869,95.6,136.2,0,3.38,0,1.2
09/26/18,02:00:00AM,72.739,96,155.8,0,2.26,0,1.2
09/26/18,02:30:00AM,72.437,96.2,164.3,0,1.12,0,1.2
09/26/18,03:00:00AM,72.653,96.8,164.3,0,1.7,0,1.2
09/26/18,03:30:00AM,71.577,97.2,165.7,0.56,2.26,0,1.2
09/26/18,04:00:00AM,72.783,97.7,234.5,3.38,6.76,0,1.2
09/26/18,04:30:00AM,73.342,97.8,231.6,3.94,7.31,0,1.2
09/26/18,05:00:00AM,73.558,98,227.4,2.26,5.08,0,1.2
09/26/18,05:30:00AM,73.299,97.9,223.2,1.7,3.94,0,1.2
09/26/18,06:00:00AM,73.558,98.2,240.1,2.82,6.2,0,1.2
09/26/18,06:30:00AM,72.912,98.3,231.6,0,2.82,0,1.2
09/26/18,07:00:00AM,72.48,98.8,231.6,0,1.7,0,1.2
09/26/18,07:30:00AM,72.997,98.9,231.6,0,0,0,1.2
09/26/18,08:00:00AM,73.299,99.1,231.6,0,2.26,0,1.2
09/26/18,08:30:00AM,73.645,99.1,233.1,0,2.26,0,46.2
09/26/18,09:00:00AM,74.077,99.2,234.5,1.7,3.94,0,121.2
09/26/18,09:30:00AM,74.899,99.5,238.7,1.7,6.2,0,218.7
09/26/18,10:00:00AM,75.551,99.2,258.3,2.26,6.2,0,271.2
09/26/18,10:30:00AM,77.509,99.3,234.5,1.7,5.64,0,728.7
09/26/18,11:00:00AM,79.963,91.2,251.3,3.94,10.13,0,586.2
09/26/18,11:30:00AM,80.845,87.4,265.3,3.38,8.46,0,518.7
09/26/18,12:00:00PM,82.308,84.1,313.1,3.38,9.57,0,498.7
09/26/18,12:30:00PM,81.642,85.3,310.3,6.2,13.51,0,566.2
09/26/18,01:00:00PM,81.154,87.3,308.9,7.31,14.09,0,1961.2
09/26/18,01:30:00PM,81.288,82.6,324.3,6.76,14.65,0,1736.2
09/26/18,02:00:00PM,83.064,73,315.9,6.2,13.51,0,1896.2
09/26/18,02:30:00PM,83.779,70.5,346.8,6.2,12.95,0,1736.2
09/26/18,03:00:00PM,83.556,73.4,14,6.2,12.39,0,1468.7
09/26/18,03:30:00PM,83.914,71.6,36.5,6.76,12.39,0,723.7
09/26/18,04:00:00PM,83.779,69.3,42.1,6.76,11.83,0,683.7
09/26/18,04:30:00PM,83.064,72.7,49.1,6.76,12.95,0,668.7
09/26/18,05:00:00PM,82.441,73.5,47.7,10.13,20.29,0,676.2
09/26/18,05:30:00PM,78.822,79.1,35.1,9.01,17.47,0,151.2
09/26/18,06:00:00PM,76.464,83.4,28.1,8.46,20.29,0,18.7
09/26/18,06:30:00PM,74.295,87.8,32.3,7.9,18.03,0,53.7
09/26/18,07:00:00PM,73.645,88.4,44.9,8.46,17.47,0,13.7
09/26/18,07:30:00PM,71.704,90.9,39.3,9.57,17.47,0,3.7
09/26/18,08:00:00PM,70.974,91,40.7,8.46,16.89,0,6.2
09/26/18,08:30:00PM,69.901,92,39.3,7.9,15.77,0,1.2
09/26/18,09:00:00PM,69.985,90.3,59,9.01,15.77,0,1.2
09/26/18,09:30:00PM,69.942,88.6,54.8,7.9,15.21,0,1.2
09/26/18,10:00:00PM,69.814,88.7,67.4,9.57,16.89,0,1.2
09/26/18,10:30:00PM,69.6,89.5,66,9.57,17.47,0,1.2
09/26/18,11:00:00PM,69.129,90.8,54.8,5.08,11.27,0,1.2
09/26/18,11:30:00PM,68.657,91.1,36.5,5.08,10.13,0,1.2
09/27/18,12:00:00AM,68.484,91.2,33.7,4.5,9.01,0,1.2
09/27/18,12:30:00AM,67.627,91.6,26.7,5.08,12.95,0,1.2
09/27/18,01:00:00AM,66.429,94.7,33.7,5.08,10.69,0,1.2
09/27/18,01:30:00AM,66.385,95.8,32.3,4.5,8.46,0,1.2
